255,255,255
245,245,248
234,237,242
224,229,237
213,219,231
204,210,224
192,202,218
183,194,211
173,184,205
162,176,199
151,167,194
141,159,188
130,149,181
121,141,175
111,132,170
100,124,162
89,116,157
79,106,151
70,97,145
58,89,138
49,81,132
38,71,127
38,73,127
39,74,129
41,76,130
41,76,130
41,78,130
43,79,132
44,81,132
44,81,133
44,82,135
46,84,135
46,86,137
46,87,137
47,89,138
49,89,138
49,90,140
49,92,140
51,94,141
51,95,143
52,95,143
52,97,143
52,98,145
54,100,146
55,100,146
55,103,148
55,103,148
57,105,149
58,106,151
60,108,153
60,109,154
62,111,156
63,113,157
63,114,159
65,116,159
66,117,160
68,119,162
68,121,164
70,122,165
71,124,167
71,124,167
73,127,168
74,129,170
76,130,172
76,132,173
78,132,175
79,135,175
79,135,178
81,138,178
82,138,180
84,140,181
84,141,183
86,143,184
87,146,186
89,146,186
89,148,189
90,149,189
92,151,191
92,153,192
94,154,194
95,156,196
97,157,197
97,159,197
98,160,199
100,162,200
100,164,202
102,165,204
103,167,205
105,168,207
106,170,208
106,172,208
108,173,210
108,175,211
109,175,213
111,178,215
113,180,216
114,181,218
114,183,218
116,183,219
116,186,221
119,186,223
119,189,224
121,189,226
122,191,226
122,192,229
124,194,229
124,197,231
127,197,232
127,199,234
129,200,234
130,202,237
130,204,237
132,205,240
133,207,240
135,208,242
135,210,243
137,211,245
137,210,240
135,210,235
135,208,232
135,207,227
135,205,223
135,205,218
135,204,215
135,202,210
133,202,205
133,200,202
133,199,197
132,197,192
132,197,189
132,196,184
132,194,180
132,194,175
132,192,172
132,191,167
130,189,162
130,189,159
130,188,154
130,186,149
130,186,146
130,184,141
129,183,137
129,181,132
129,181,129
129,180,124
127,178,119
127,178,116
127,176,111
127,175,106
127,173,103
127,173,98
125,172,94
125,170,89
125,170,86
125,168,81
124,167,76
124,165,73
124,165,68
124,164,63
124,162,60
129,165,63
135,170,66
140,173,70
145,176,73
151,180,76
156,183,79
160,186,82
167,191,86
172,194,89
176,197,92
183,202,95
188,205,100
192,208,103
199,211,106
204,216,108
208,218,113
215,223,116
219,226,119
224,229,122
231,232,125
235,237,129
240,240,132
247,242,135
251,247,138
251,245,138
251,243,138
251,242,137
251,240,135
251,239,135
251,237,135
251,235,133
251,234,132
251,232,132
251,232,132
251,229,130
251,229,130
251,226,129
251,226,129
251,224,127
251,223,127
251,221,127
251,219,125
251,218,124
251,216,124
251,215,124
251,213,122
251,211,122
251,210,121
251,208,121
251,208,119
251,205,119
251,205,117
251,202,117
251,202,116
251,199,116
251,199,116
251,197,114
251,196,114
251,194,113
251,192,113
251,191,111
251,189,111
251,188,109
251,186,109
251,184,108
251,183,108
251,181,106
251,181,106
251,178,106
250,175,103
250,172,103
250,167,100
250,164,100
248,160,97
248,157,97
248,154,95
248,149,94
247,146,92
245,143,89
245,138,89
245,135,87
245,132,86
243,127,84
243,124,82
242,121,81
242,116,79
242,114,78
240,109,76
240,106,74
240,103,73
240,98,71
239,95,70
239,92,68
237,87,66
237,84,65
237,81,63
