230,230,230
208,224,231
186,218,232
164,212,233
142,207,234
120,201,235
98,195,236
77,190,238
72,185,235
67,180,232
63,176,229
58,171,226
53,167,223
49,162,220
44,157,217
39,153,214
35,148,211
30,144,208
25,139,205
21,134,202
16,130,199
11,125,196
7,121,193
7,120,193
6,120,193
6,120,193
6,120,193
6,120,193
6,120,193
6,120,192
6,119,192
5,119,192
5,119,192
5,119,192
5,119,192
5,119,192
5,119,192
4,118,192
4,118,192
4,118,191
4,118,191
6,120,189
7,122,186
9,123,184
10,125,181
12,127,178
14,129,176
15,131,173
17,132,171
19,134,168
20,136,166
22,138,163
23,140,160
25,141,158
27,143,155
28,145,153
30,147,150
31,149,148
33,150,145
35,152,142
36,154,140
38,156,137
40,158,135
41,159,132
43,161,130
44,163,127
46,165,124
48,167,122
49,168,119
51,170,117
52,172,114
54,174,111
56,175,109
57,177,106
59,179,104
61,181,101
62,183,99
64,184,96
65,186,93
67,188,91
68,189,89
69,191,87
71,192,86
72,193,84
73,195,82
74,196,80
76,198,78
77,199,77
78,200,75
79,202,73
80,203,71
82,204,70
83,206,68
84,207,66
85,208,64
87,210,62
88,211,61
89,212,59
90,214,57
91,215,55
93,216,54
94,218,52
95,219,50
96,221,48
98,222,47
99,223,45
100,225,43
101,226,41
102,227,39
104,229,38
105,230,36
106,231,34
107,233,32
109,234,31
110,235,29
111,237,27
112,238,25
114,240,24
120,240,22
127,241,21
134,242,20
140,242,19
147,243,18
154,244,17
161,245,16
167,245,14
174,246,13
181,247,12
187,247,11
194,248,10
201,249,9
208,250,8
214,250,6
221,251,5
228,252,4
234,252,3
241,253,2
248,254,1
255,255,0
255,252,0
255,249,0
255,247,0
255,244,0
255,242,0
255,239,0
255,237,0
255,234,0
255,231,0
255,229,0
255,226,0
255,224,0
255,221,0
255,219,0
255,216,0
255,213,0
255,211,0
255,208,0
255,206,0
255,203,0
255,201,0
255,198,0
255,195,0
255,193,0
255,190,0
255,188,0
255,185,0
255,183,0
255,180,0
255,178,0
255,175,0
255,172,0
255,170,0
255,167,0
255,165,0
255,162,0
255,160,0
255,157,0
255,154,0
255,152,0
255,149,0
255,147,0
255,144,0
255,142,0
255,139,0
255,136,0
255,134,0
255,131,0
255,129,0
255,126,0
255,124,0
255,121,0
255,118,0
255,116,0
255,113,0
255,111,0
255,108,0
255,106,0
255,103,0
255,101,0
255,98,0
255,95,0
255,93,0
255,90,0
255,88,0
255,85,0
255,83,0
255,80,0
255,77,0
255,75,0
255,72,0
255,70,0
255,67,0
255,65,0
255,62,0
255,59,0
255,57,0
255,54,0
255,52,0
255,49,0
255,47,0
255,44,0
255,41,0
255,39,0
255,36,0
255,34,0
255,31,0
255,29,0
255,26,0
255,24,0
255,21,0
255,18,0
255,16,0
255,13,0
255,11,0
250,11,2
246,11,4
242,12,6
238,12,8
233,13,10
229,13,12
225,13,14
221,14,17
216,14,19
212,15,21
208,15,23
204,15,25
