tracking_time_ns,capture_time_ns,pose_sample_index,pose_unix_ms,pose_distance_ms,valid,pose_source,thumb01_bend_deg,thumb02_bend_deg,thumb03_bend_deg,index01_bend_deg,index02_bend_deg,index03_bend_deg,middle01_bend_deg,middle02_bend_deg,middle03_bend_deg,ring01_bend_deg,ring02_bend_deg,ring03_bend_deg,little01_bend_deg,little02_bend_deg,little03_bend_deg,thumb01_x_deg,thumb01_y_deg,thumb01_z_deg,thumb02_x_deg,thumb02_y_deg,thumb02_z_deg,thumb03_x_deg,thumb03_y_deg,thumb03_z_deg,index01_x_deg,index01_y_deg,index01_z_deg,index02_x_deg,index02_y_deg,index02_z_deg,index03_x_deg,index03_y_deg,index03_z_deg,middle01_x_deg,middle01_y_deg,middle01_z_deg,middle02_x_deg,middle02_y_deg,middle02_z_deg,middle03_x_deg,middle03_y_deg,middle03_z_deg,ring01_x_deg,ring01_y_deg,ring01_z_deg,ring02_x_deg,ring02_y_deg,ring02_z_deg,ring03_x_deg,ring03_y_deg,ring03_z_deg,little01_x_deg,little01_y_deg,little01_z_deg,little02_x_deg,little02_y_deg,little02_z_deg,little03_x_deg,little03_y_deg,little03_z_deg,direction_error_deg
0,1789117536835329000,0,1789117536847,3.329,True,recorded_pose,20.981490393168425,8.505625005298251,0.13840118385921052,8.904632897121953,1.3425077716138833,1.937791692394224,10.893720369284797,2.698801985190665,3.2368615084826575,6.889929063749343,2.791130221990445,5.376090313308508,9.63146237603154,2.0167585817155262,3.457947097274038,39.248182158630186,50.26741957436604,-36.55720971257475,0.22930873721243178,-3.3546997489660053,7.817977387738813,3.796796518290329e-05,-0.030327797154644676,0.1355018246964762,-7.6359977719636145,2.4704121096341933,0.22898803468652537,-0.0006745816455632167,-0.058064917372998036,-1.3417270032325317,-0.00085846147023188,-0.05154784023146694,-1.937104535207548,-7.838349448784936,-6.1906166833887,1.8597474399744518,0.0007038052862081303,0.029930617355074025,-2.699510749949511,0.0013649910410866055,0.04835829693411138,-3.2359943134298534,-11.851244094558341,-10.861021753980282,-4.7180765954701265,0.006928349205397331,0.28564282502703825,-2.7779964762640006,0.026327564264278798,0.5639228344214741,-5.345879291643125,-8.993901463767939,-15.69164387957991,-9.711177256181275,0.0006372468598479998,-0.03823441087255807,2.012910255018512,0.0033757319293289375,-0.11181432493586373,3.4576202200728128,3.306651113363206e-06
60004000,1789117536895333000,4,1789117536897,0.667,True,recorded_pose,20.55851914202447,8.181697871010162,0.025599653238577363,8.552443279531815,1.3587614808420567,2.0687820960033276,10.952642009214756,2.6921477324360366,3.440733654411289,6.751533714997775,3.1271615054670394,5.417851357259321,8.752857151647513,2.002313894611249,3.25538271989085,39.848760340570706,51.22150925389078,-36.59976286431521,0.21477541394252808,-3.2763885330937965,7.4985037598908955,1.2815046293690837e-06,0.025268429307795926,0.00386433892355989,-7.63841908414833,3.0155846351299234,0.15198136428061762,-0.0006424928953132844,-0.054661024560306616,-1.3581335706930298,-0.000879773861212745,-0.04946080135108977,-2.0681891928393044,-7.816462236147241,-5.7638280962096955,2.4322083675405417,0.0008693389674393759,0.03705127493058135,-2.692768063033185,0.0018396513871457864,0.06130145816811059,-3.4396818778599463,-11.799431981382774,-10.799687382929095,-4.080959693402737,0.008743483387024836,0.32177636042993185,-3.112088313144078,0.026789584568661116,0.5694011995830103,-5.387296428249448,-8.937915642004246,-15.612814411646767,-8.74071381880024,0.00048554381208043654,-0.029808488784959234,1.998610697000905,0.002612004568893861,-0.09188329106528363,3.2555621110875776,3.7215130446689415e-06
100004000,1789117536935333000,7,1789117536939,2.667,True,recorded_pose,21.368642910474406,7.880225554929568,0.7982660469270556,9.113951507893379,1.4668461938006387,2.303523372309534,11.841549140545144,2.682813044961398,3.638395812222181,6.7821203710441,3.5723279637728544,6.510232898245434,8.537092289241848,1.535964019272969,2.627378328186651,40.57078230656203,51.657801134273235,-37.94235098115396,0.19901879689010063,-3.1520268127312296,7.2234038192266645,0.0021403827281884415,0.3393021914608328,-0.7220817132897208,-7.634008985373689,2.3106847497475322,0.3001013186899726,-0.0007212725658755223,-0.05681835360081543,-1.4662163082434791,-0.0010901728944911404,-0.054887457600376124,-2.302867486560838,-7.771530479463475,-6.479174371610686,2.9567367061824017,0.0010087504565450523,0.04313617591392402,-2.6833420291684726,0.0022981886878018147,0.0724125922076138,-3.637169834609143,-11.743200008820693,-10.957324927513424,-3.293867653170433,0.011397604175953644,0.3671860754412694,-3.5549408319807987,0.03851993624425656,0.6810711503790324,-6.474022946888416,-8.86044829960999,-14.734394584932982,-8.551996834345111,0.0003500171264885329,-0.028129148993079375,1.532221082170143,0.0021694296389452167,-0.09457118587174587,2.62715981223936,4.436338000413295e-06
120004000,1789117536955333000,9,1789117536967,3.333,True,recorded_pose,21.53025798509524,7.792932758385488,1.0667920507606192,9.130243004248124,1.5357302586855395,2.400616833578777,12.234858767302336,2.7663114981323553,3.790272058594457,6.878285046020088,3.7753924151614897,6.607095013399413,8.274156622475632,1.2238716529644063,2.1456548691053965,40.81348697293407,51.86188074444966,-38.26927144937656,0.19440248969837867,-3.1127270234482607,7.145181391143344,0.003768942971132538,0.445488578698491,-0.9688435577210656,-7.634170375629076,2.2626775138561146,0.2881078908813137,-0.0007707934200630305,-0.05798320339968104,-1.5351052587903997,-0.0011745445598753432,-0.05669463445846097,-2.3999454056562444,-7.743866167690317,-6.624403101706324,3.369455007157774,0.0011418839268449795,0.047349645467342334,-2.76678228670291,0.0026124919902105526,0.07901219782962339,-3.788943342684825,-11.716555185932208,-11.064479762623261,-2.91988774922828,0.012741005588839605,0.3883909144508236,-3.756899798370362,0.03970677678448946,0.6917456441500957,-6.570303777836419,-8.86979239928072,-15.028622888525229,-8.255725509669952,0.00017125972339837508,-0.01803645585496578,1.22025732162554,0.0014873134895882962,-0.07937504431913,2.14567070614739,4.436338000413295e-06
160009000,1789117536995338000,12,1789117537009,1.338,True,recorded_pose,21.584959386609984,7.8339093156687465,1.3459487068181972,9.260368554813295,1.5839737853012588,2.5530454658377018,13.167748702164143,2.8168132952597476,4.060165282762002,7.093955988642428,3.814325036977644,6.71553820858431,7.048302164739111,2.0249863079909316,1.9573657332794105,41.015885645035745,52.07920917940793,-38.446848207926784,0.19609166738149733,-3.121930610060276,7.18590638464134,0.005941475269744151,0.5552664643756365,-1.2256054756852643,-7.627282084518022,2.3653516221601527,0.5985740016237997,-0.0008052676540793758,-0.058723496644023404,-1.5833542073676046,-0.0013005281738112714,-0.05896334049548669,-2.552362567913649,-7.672235043732498,-6.828646096239338,4.467710457601035,0.0012549775280932304,0.051102273478081384,-2.817226020103678,0.0031281507899130114,0.08830957574748806,-4.0587001256293025,-11.617501680686582,-11.208511753981561,-1.648554854146504,0.012838280010922458,0.38730505987385827,-3.7961491988325173,0.0404933664723924,0.6939312112957106,-6.679113634262649,-8.807046681951249,-14.946897549181216,-6.979785717028955,0.0007477211882715485,-0.044343822034186735,2.0210115047600485,0.0012143254873570183,-0.07102567841413777,1.9575602801786915,4.597711793052989e-06
200009000,1789117537035338000,14,1789117537037,0.662,True,recorded_pose,20.523406746135432,8.18979338163912,0.4769132388209719,9.863135355530906,1.056711716451417,2.4218162720770247,13.66858985323488,2.414189537781392,4.048630584544849,6.960653939495377,2.677670396885591,5.515165968147409,5.880419746135956,5.75993300631327,4.227829677024642,39.86149078254442,51.26604683374074,-36.55458296469883,0.21483557356913294,-3.272748310726787,7.508923367922465,0.0007847485910525394,0.20954886912447526,-0.42792015302100506,-7.60687732558533,2.628913977528319,1.6499013119598986,-0.000406484447886399,-0.04456338335649783,-1.0562458484143114,-0.0012062015532223423,-0.057696591511296254,-2.421127026951827,-7.631115042151762,-6.371007583288032,5.526236839902939,0.0007890841770779228,0.037508976358087844,-2.4147737871304655,0.0027825354061453557,0.07877601082298064,-4.047359135498646,-11.530167862215148,-10.829419261615438,-0.5925113869801372,0.006087186512369707,0.2614572164518216,-2.666394207811679,0.026372335340288718,0.5503237346656398,-5.487086217312491,-8.662225597454656,-13.227148452396163,-5.704756417824898,0.0013296702987248296,-0.028467171073904,5.756392961484279,0.001923778825043849,-0.052080562721532456,4.228968274496206,3.6222548091772005e-06
240013000,1789117537075342000,17,1789117537079,2.658,True,recorded_pose,19.40449361396133,8.72132477481411,0.7604651846625189,10.4965283688587,0.43955753408781545,2.2089975622524283,13.70310973728835,1.7173283701286204,3.926573865692355,6.350924721852135,1.369698813211706,4.712450014459474,5.973460012597686,6.730620508889586,5.204348385205078,38.51595368571815,50.16355515085565,-34.40339987070288,0.24489211147878281,-3.506140185630857,7.9878903721403605,0.0017409797043254282,-0.28195443036601836,0.7067490733134388,-7.595095291123692,3.106240620849757,2.7771398373096363,-0.00010586304586992984,-0.028162932567023832,-0.4391501403351628,-0.0010273345390455191,-0.0539772747718998,-2.208336276939345,-7.644507399624459,-5.317585631385804,6.3331517166877225,0.00026222408697291143,0.01756791582021528,-1.7181130735950132,0.0021238895659368468,0.062002819635406325,-3.925578826817453,-11.473155809383124,-9.89134803170715,0.16049410370064882,0.0014705573805708135,0.12326943924477357,-1.3656521830774786,0.017969192493155345,0.4386576776630878,-4.6913970263778495,-8.59081536317224,-11.933193507075147,-5.394699606586777,-0.0005043413807200597,0.0065426700225009885,6.727154157553525,0.0007531974442351876,-0.01654868623669592,5.20577164304797,2.699869328381916e-06
260014000,1789117537095343000,19,1789117537108,2.343,True,recorded_pose,19.1507074480284,8.969090475518993,1.2444337176004945,10.687028655065381,0.25843751771606194,2.1439187986147354,13.627801650109868,1.3853426260798225,3.8730164062538104,6.025406784035931,0.9306736835258719,4.727259520967545,6.279720264886341,5.860303439802066,4.884496851189992,38.10560518816287,49.763043083322074,-33.811527672265306,0.2596239511576038,-3.6157381525602648,8.21082283372791,0.0047950829058088585,-0.47778155772515685,1.149557627623456,-7.595579406738274,3.3481502269897283,3.1500892823853426,-5.179043300120242e-05,-0.023641985648670778,-0.25787680597729745,-0.0009840074739732331,-0.053300453077085905,-2.14325452775937,-7.663755118203984,-4.788077662561083,6.5739487955029565,0.00011416932468689487,0.00952752808321973,-1.3861838048648847,0.0018482094401034456,0.05470406449535254,-3.8721244071948693,-11.456449887765578,-9.395052041935154,0.4289858605507908,0.0006370519628234196,0.0784537059356909,-0.9288723634872941,0.017607128786760972,0.42837294278978294,-4.707216305641251,-8.58547715101368,-11.750163056215573,-5.617699968258849,-0.0008525263876151492,0.014623912011059647,5.8568237980032585,0.0005626975479996744,-0.01316831018864657,4.885928116354303,2.9575586669421963e-06
280014000,1789117537115343000,20,1789117537123,3.657,True,recorded_pose,19.75297453076018,9.038883826614878,1.296898209131264,10.527350416107865,0.4498641228842472,2.221994259533205,13.430314050022385,1.2921747851639678,3.838674781583192,5.955680877372933,1.0025391021273806,5.1123699795617386,6.797782852468984,5.030744684374352,4.552218071528531,38.412379405312976,49.844399461607225,-34.669965859066835,0.2632643475021775,-3.6365605392894826,8.278020997591707,0.005197938690200831,-0.49679885173917593,1.198470259758922,-7.5979642212147835,3.323593612960968,2.9412500701009883,-0.00011428524683627713,-0.02967877725633333,-0.4493817832713969,-0.0011046283126479818,-0.057650516297969655,-2.2212448945867793,-7.674099159434392,-4.7625136962881545,6.361260075898742,9.858601828679296e-05,0.008831587948573177,-1.2930185334972124,0.00180338525615565,0.05385592795602543,-3.8377913012672975,-11.455953446322317,-9.325307571423359,0.44080757605800136,0.0007565442690548779,0.08653392444585269,-1.000308787590942,0.02053489743946361,0.4619095658578754,-5.0908773345840235,-8.609858673230244,-12.008292614474367,-6.256360253637397,0.0008450292753036104,-0.02126992617869223,5.027230706423187,0.0018494775025278954,-0.04649699334340701,4.5534377482808885,3.0783246591999756e-06
320014000,1789117537155343000,23,1789117537164,6.343,True,recorded_pose,19.672329381167305,8.738594215367696,1.1117529077303083,10.606162863607844,0.391195241227709,2.1341076161022214,13.226838902873359,0.7904410624322189,3.677196913681631,5.599320921280897,0.7753737473834464,4.956493113038653,5.974357675208196,4.392748372493333,4.245885651569375,38.20779610868906,49.624290883118825,-34.41459626632707,0.24618242982666458,-3.518687222973387,8.001283261239495,0.003802342432918322,-0.4234359351531473,1.0284502186038376,-7.593302057136176,3.126835694872428,2.9171592366439936,-9.214814792784536e-05,-0.027580042160575583,-0.39072397108837004,-0.0010074602389555582,-0.054806225804362764,-2.1334023081707807,-7.689754137968968,-4.568737821470489,6.239545950366393,2.8586827093167976e-06,0.0005500855105172501,-0.7913136713043702,0.0014909118795271906,0.0464856292467571,-3.676397266605983,-11.45268575185374,-8.9008209270538,0.5219976976367321,0.0004390647237189442,0.0648469239703724,-0.7741685604681895,0.01895868444711853,0.43982094778957753,-4.936351173457874,-8.572345929981974,-11.63379847173337,-5.116072470985337,-4.3940003255210435e-05,-0.0008839686777465488,4.389283699779364,0.0010424613255964007,-0.02808900048692822,4.247245843054295,2.9575586669421963e-06
