tracking_time_ns,capture_time_ns,pose_sample_index,source,phase,peak_relative_0_100,contact_strength,palm_relative_0_100,index_relative_0_100,middle_relative_0_100,ring_relative_0_100,little_relative_0_100,thumb_relative_0_100,endpoint_hold
0,1789117536835329000,0,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
60004000,1789117536895333000,4,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
100004000,1789117536935333000,7,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
120004000,1789117536955333000,9,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
160009000,1789117536995338000,12,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
200009000,1789117537035338000,14,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
240013000,1789117537075342000,17,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
260014000,1789117537095343000,19,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
280014000,1789117537115343000,20,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
320014000,1789117537155343000,23,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
380018000,1789117537215347000,27,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
420018000,1789117537255347000,30,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
440023000,1789117537275352000,32,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
480023000,1789117537315352000,35,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
520027000,1789117537355356000,38,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
540027000,1789117537375356000,39,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
600027000,1789117537435356000,43,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
640032000,1789117537475361000,46,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
700032000,1789117537535361000,51,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
740037000,1789117537575366000,53,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
780037000,1789117537615366000,56,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
800037000,1789117537635366000,58,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
840041000,1789117537675370000,61,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
880041000,1789117537715370000,63,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
900041000,1789117537735370000,65,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
940046000,1789117537775375000,68,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
960046000,1789117537795375000,69,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1020050000,1789117537855379000,74,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1060051000,1789117537895380000,76,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1100055000,1789117537935384000,79,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
