tracking_time_ns,capture_time_ns,pose_sample_index,source,phase,peak_relative_0_100,contact_strength,palm_relative_0_100,index_relative_0_100,middle_relative_0_100,ring_relative_0_100,little_relative_0_100,thumb_relative_0_100,endpoint_hold
0,1789028292345637000,,video_contact_only,Preparing to clap,0,0,0,0,0,0,0,0,False
20005000,1789028292365642000,,video_contact_only,Preparing to clap,7.8,0.10160820693327637,5.5,7.8,6.7,4.3,2.4,7.1,False
100005000,1789028292445642000,,video_contact_only,Hands clap,49,0.6222900860969843,33.3,49,41.6,26.7,14.5,44.3,False
140009000,1789028292485646000,10,video_contact_and_recorded_pose,Hands clap,30.2,0.4531597658785457,24.3,30.2,27.1,16.9,9,27.5,False
160009000,1789028292505646000,11,video_contact_and_recorded_pose,Hands clap,23.1,0.3467457734805864,18.4,23.1,20.8,12.9,7.1,20.8,False
180009000,1789028292525646000,13,video_contact_and_recorded_pose,Hands clap,16.1,0.2490860084878751,13.3,16.1,14.1,8.6,4.7,14.9,False
200014000,1789028292545651000,14,video_contact_and_recorded_pose,Hands clap,11.4,0.17766006902432369,9.4,11.4,9.8,6.3,3.1,10.6,False
240014000,1789028292585651000,17,video_contact_and_recorded_pose,Hands separate,9.4,0.14679025751975205,7.8,9.4,8.2,5.1,2.7,8.6,False
280014000,1789028292625651000,20,video_contact_and_recorded_pose,Hands separate,7.8,0.12469149916157009,6.7,7.8,7.1,4.3,2.4,7.5,False
320019000,1789028292665656000,23,video_contact_and_recorded_pose,Hands separate,5.9,0.08957242501262086,4.7,5.9,5.1,3.1,1.6,5.5,False
340019000,1789028292685656000,24,video_contact_and_recorded_pose,Hands separate,4.3,0.07009322607270137,3.9,4.3,3.9,2.4,1.2,4.3,False
360019000,1789028292705656000,26,video_contact_and_recorded_pose,Hands separate,3.1,0.0509110337901338,2.7,3.1,2.7,2,0.8,3.1,False
400023000,1789028292745660000,29,video_contact_and_recorded_pose,Hands separate,1.2,0.018169123937712667,0.8,1.2,1.2,0.8,0.4,1.2,False
460023000,1789028292805660000,33,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
500028000,1789028292845665000,36,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
520028000,1789028292865665000,37,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
560028000,1789028292905665000,39,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
600032000,1789028292945669000,42,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
640033000,1789028292985670000,45,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
700037000,1789028293045674000,49,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
720037000,1789028293065674000,51,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
780042000,1789028293125679000,55,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
820042000,1789028293165679000,58,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
860042000,1789028293205679000,61,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
880046000,1789028293225683000,62,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
920046000,1789028293265683000,65,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
