tracking_time_ns,capture_time_ns,pose_sample_index,source,phase,peak_relative_0_100,contact_strength,palm_relative_0_100,index_relative_0_100,middle_relative_0_100,ring_relative_0_100,little_relative_0_100,thumb_relative_0_100,endpoint_hold
0,1789117022496528000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
20005000,1789117022516533000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
80005000,1789117022576533000,3,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
160009000,1789117022656537000,9,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
180009000,1789117022676537000,10,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
200010000,1789117022696538000,11,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
260014000,1789117022756542000,16,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
300019000,1789117022796547000,19,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
320019000,1789117022816547000,20,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
340019000,1789117022836547000,21,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
380019000,1789117022876547000,24,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
440023000,1789117022936551000,29,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
480023000,1789117022976551000,32,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
500028000,1789117022996556000,33,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
540028000,1789117023036556000,36,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
560028000,1789117023056556000,37,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
620033000,1789117023116561000,41,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
660033000,1789117023156561000,45,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
720037000,1789117023216565000,49,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
760037000,1789117023256565000,52,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
800042000,1789117023296570000,55,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
820042000,1789117023316570000,56,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
840042000,1789117023336570000,57,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
860042000,1789117023356570000,59,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
900046000,1789117023396574000,62,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
940047000,1789117023436575000,65,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1020051000,1789117023516579000,71,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1040051000,1789117023536579000,72,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1060051000,1789117023556579000,73,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1080056000,1789117023576584000,75,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1120056000,1789117023616584000,78,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1180060000,1789117023676588000,82,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1200060000,1789117023696588000,83,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1260060000,1789117023756588000,88,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1300065000,1789117023796593000,91,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1320065000,1789117023816593000,92,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1340065000,1789117023836593000,93,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1380070000,1789117023876598000,96,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1420070000,1789117023916598000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1460070000,1789117023956598000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1500074000,1789117023996602000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1540074000,1789117024036602000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1620079000,1789117024116607000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1640079000,1789117024136607000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1660079000,1789117024156607000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1700084000,1789117024196612000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
1760084000,1789117024256612000,124,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1780088000,1789117024276616000,125,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1800088000,1789117024296616000,127,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1840088000,1789117024336616000,129,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1940093000,1789117024436621000,137,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1980097000,1789117024476625000,139,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
2020097000,1789117024516625000,142,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
2040098000,1789117024536626000,144,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
2080102000,1789117024576630000,147,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
2120102000,1789117024616630000,150,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
2160107000,1789117024656635000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
2180107000,1789117024676635000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
2200107000,1789117024696635000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
2220107000,1789117024716635000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
2240107000,1789117024736635000,,video_contact_only,No contact,0,0,0,0,0,0,0,0,False
2300111000,1789117024796639000,,video_contact_only,Reach for kettle,0,3.5647377531810846e-08,0,0,0,0,0,0,False
2340111000,1789117024836639000,,video_contact_only,Reach for kettle,0.4,0.004482460527028594,0,0.4,0.4,0.4,0,0.4,False
2360116000,1789117024856644000,,video_contact_only,Reach for kettle,0.8,0.009874916701065072,0.4,0.8,0.8,0.4,0.4,0.8,False
2380116000,1789117024876644000,,video_contact_only,Reach for kettle,1.2,0.017194543310290064,0.4,1.2,1.2,0.8,0.4,1.2,False
2420116000,1789117024916644000,,video_contact_only,Reach for kettle,3.1,0.03710419261927503,0.8,3.1,2.4,2,1.2,2.7,False
2480121000,1789117024976649000,,video_contact_only,Reach for kettle,6.3,0.07821955242725612,2,6.3,5.5,3.9,2.4,5.5,False
2520121000,1789117025016649000,,video_contact_only,Reach for kettle,9,0.11162534333056974,2.7,9,7.5,5.5,3.5,7.8,False
2560125000,1789117025056653000,,video_contact_only,Reach for kettle,11.8,0.14863269109425095,3.5,11.8,10.2,7.5,4.7,10.6,False
2580125000,1789117025076653000,,video_contact_only,Reach for kettle,13.3,0.16816219711303698,4.3,13.3,11.4,8.6,5.1,11.8,False
