t_sync_us,capture_time_ns,source_pose_index,source,quality,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
11472,1789117022508000000,0,HEAD_POSE_ESTIMATE,edge_fit,-0.31130212667634516,7.890644404533633,4.573618479985848,0.9701736020117622,-0.22661984659487933,0.0002392072850722131
23472,1789117022520000000,1,HEAD_POSE_ESTIMATE,edge_fit,-0.30467974751933047,7.976932252779218,4.459775647403496,0.9285570518952057,-0.21446718264196582,-0.014186339322371382
37472,1789117022534000000,2,HEAD_POSE_ESTIMATE,edge_fit,-0.2985465264107054,8.061312312615188,4.351434145635928,0.8835556568131023,-0.20077912244332843,-0.028571860296212708
53472,1789117022550000000,3,HEAD_POSE_ESTIMATE,edge_fit,-0.29459152687565116,8.1491348576037,4.238860994631936,0.8368848210018158,-0.1854643290270432,-0.041771772885027654
70472,1789117022567000000,4,HEAD_POSE_ESTIMATE,edge_fit,-0.28945090913000215,8.228451739874473,4.1422098041960265,0.7928395958058052,-0.1696608713295173,-0.05210450116346767
78472,1789117022575000000,5,HEAD_POSE_ESTIMATE,edge_fit,-0.2837507391860271,8.292906730845427,4.040564988234224,0.7740906796520787,-0.16238633843316147,-0.05565116919163795
90472,1789117022587000000,6,HEAD_POSE_ESTIMATE,edge_fit,-0.2796509750114853,8.364718294098042,3.934273445202576,0.7483806564611262,-0.15149971805901274,-0.059363060041202516
105472,1789117022602000000,7,HEAD_POSE_ESTIMATE,edge_fit,-0.2744750096789936,8.43513788480128,3.8384293539391123,0.7202854740857338,-0.13810266957090966,-0.0612662787107941
119472,1789117022616000000,8,HEAD_POSE_ESTIMATE,edge_fit,-0.2725120095509481,8.504969896092698,3.7363414821215635,0.6981567047507514,-0.12551367398124338,-0.06050286677333579
133472,1789117022630000000,9,HEAD_POSE_ESTIMATE,estimated,-0.2816991904079883,8.565340474288881,3.6556726408846485,0.682000101941452,-0.11371172238508301,-0.06073608348027418
148472,1789117022645000000,10,HEAD_POSE_ESTIMATE,estimated,-0.2830467576291904,8.598189420154508,3.5405201491399145,0.6639339133701568,-0.09742842374439036,-0.05464295773053501
162472,1789117022659000000,11,HEAD_POSE_ESTIMATE,estimated,-0.269410331588145,8.628473850640017,3.407322235683621,0.6490463841334958,-0.08153709212617329,-0.04445527863598635
176472,1789117022673000000,12,HEAD_POSE_ESTIMATE,estimated,-0.26175653065669835,8.67676837037411,3.303325316607403,0.6515270209995911,-0.06635268642315452,-0.02767082566977724
190472,1789117022687000000,13,HEAD_POSE_ESTIMATE,estimated,-0.2573509567886105,8.684470480323927,3.2150647122676634,0.6439422347842608,-0.05486393693572806,-0.016813805916239172
204472,1789117022701000000,14,HEAD_POSE_ESTIMATE,estimated,-0.25269839808173433,8.71506919136362,3.15970447161385,0.664077680333409,-0.048305865190420856,-0.0004902482713990141
217472,1789117022714000000,15,HEAD_POSE_ESTIMATE,estimated,-0.23055267430562162,8.68786713498893,3.025449173715329,0.6468239872391702,-0.040664598005634996,0.011433817836893395
