frame_index,pair_index,t_sync_us,frame_duration_us,left_frame_index,right_frame_index
0,0,0,120004,0,0
1,1,120004,80005,3,3
2,2,200009,120009,5,5
3,3,320018,40000,8,8
4,4,360018,40000,9,9
5,5,400018,20005,10,10
6,6,420023,40000,11,11
7,7,460023,60004,12,12
8,8,520027,40000,13,13
9,9,560027,40000,14,14
10,10,600027,80005,15,15
11,11,680032,160009,17,17
12,12,840041,40000,21,21
13,13,880041,40005,22,23
14,14,920046,60004,23,24
15,15,980050,140005,25,25
16,16,1120055,80005,29,29
17,17,1200060,140004,31,32
18,18,1340064,20005,34,35
19,19,1360069,40000,35,36
20,20,1400069,80004,36,37
21,21,1480073,80005,38,39
22,22,1560078,80000,40,41
23,23,1640078,80005,42,43
24,24,1720083,100004,44,46
25,25,1820087,60005,47,48
26,26,1880092,120005,48,50
27,27,2000097,40004,51,53
28,28,2040101,40000,52,54
29,29,2080101,80005,53,55
30,30,2160106,40000,55,58
31,31,2200106,40004,56,59
32,32,2240110,80005,57,60
33,33,2320115,60000,58,61
34,34,2380115,60005,59,62
35,35,2440120,80004,61,64
36,36,2520124,80005,63,66
37,37,2600129,80000,65,68
38,38,2680129,40005,67,70
39,39,2720134,20000,68,71
40,40,2740134,40004,69,72
41,41,2780138,40000,70,73
42,42,2820138,160009,71,74
43,43,2980147,40001,75,78
44,44,3020148,40004,76,79
45,45,3060152,60000,77,80
46,46,3120152,40005,79,82
47,47,3160157,40000,80,83
48,48,3200157,40000,81,84
49,49,3240157,120009,82,85
50,50,3360166,80004,85,88
51,51,3440170,240010,87,90
52,52,3680180,40004,93,97
53,53,3720184,140005,94,98
54,54,3860189,80005,98,101
55,55,3940194,60000,100,103
56,56,4000194,40004,102,105
57,57,4040198,80005,103,106
58,58,4120203,160005,105,107
59,59,4280208,20004,109,112
60,60,4300212,80000,110,113
61,61,4380212,140009,112,115
62,62,4520221,40001,116,119
63,63,4560222,40004,117,121
64,64,4600226,60000,118,122
65,65,4660226,60005,119,123
