frame_index,pair_index,t_sync_us,frame_duration_us,left_frame_index,right_frame_index
66,66,4720231,60004,121,125
67,67,4780235,60000,123,126
68,68,4840235,180010,124,128
69,69,5020245,40004,129,133
70,70,5060249,40000,130,134
71,71,5100249,20000,131,135
72,72,5120249,40005,132,136
73,73,5160254,40000,133,137
74,74,5200254,40004,134,138
75,75,5240258,120005,135,139
76,76,5360263,20000,138,142
77,77,5380263,40000,139,143
78,78,5420263,140009,140,144
79,79,5560272,120005,144,147
80,80,5680277,160009,147,150
81,81,5840286,140005,151,155
82,82,5980291,60004,155,159
83,83,6040295,120005,157,160
84,84,6160300,20005,160,163
85,85,6180305,40000,161,164
86,86,6220305,80004,162,165
87,87,6300309,100005,164,167
88,88,6400314,80005,167,169
89,89,6480319,60000,169,172
90,90,6540319,120009,171,173
91,91,6660328,100004,174,176
92,92,6760332,200010,177,179
93,93,6960342,80004,182,184
94,94,7040346,40000,184,186
95,95,7080346,40000,185,187
96,96,7120346,40005,186,188
97,97,7160351,120005,187,190
98,98,7280356,140009,190,193
99,99,7420365,60000,194,196
100,100,7480365,80004,196,198
101,101,7560369,80005,198,200
102,102,7640374,40000,200,203
103,103,7680374,100005,201,204
104,104,7780379,20004,204,206
105,105,7800383,160005,205,207
106,106,7960388,40004,209,211
107,107,8000392,40001,210,212
108,108,8040393,40004,211,213
109,109,8080397,40000,212,214
110,110,8120397,220010,213,215
111,111,8340407,100004,219,221
112,112,8440411,140009,222,223
113,113,8580420,160009,225,228
114,114,8740429,60001,230,232
115,115,8800430,180009,232,234
116,116,8980439,100004,236,239
117,117,9080443,40005,239,241
118,118,9120448,60000,240,243
119,119,9180448,40005,242,244
120,120,9220453,180009,243,245
121,121,9400462,40000,248,249
122,122,9440462,40000,249,250
123,123,9480462,40004,250,252
124,124,9520466,120005,251,253
125,125,9640471,80005,254,256
126,126,9720476,80004,256,258
127,127,9800480,20000,258,260
128,128,9820480,140010,259,261
129,129,9960490,80000,263,264
130,130,10040490,40004,265,266
131,131,10080494,80005,266,267
132,132,10160499,40000,268,269
133,133,10200499,120005,269,270
134,134,10320504,120009,272,273
135,135,10440513,220009,275,276
136,136,10660522,80005,281,282
137,137,10740527,60000,283,284
138,138,10800527,40004,284,286
139,139,10840531,40000,285,287
140,140,10880531,120009,286,288
141,141,11000540,40001,289,291
142,142,11040541,80004,290,292
143,143,11120545,40000,292,294
144,144,11160545,40005,293,296
145,145,11200550,100004,294,297
146,146,11300554,140005,297,299
147,147,11440559,40005,301,303
148,148,11480564,40000,302,305
149,149,11520564,60004,303,306
150,150,11580568,60000,304,307
151,151,11640568,80005,306,309
152,152,11720573,40004,308,311
153,153,11760577,120005,309,312
154,154,11880582,200009,312,315
155,155,12080591,40001,318,320
156,156,12120592,40004,319,321
157,157,12160596,80005,320,322
158,158,12240601,60000,322,324
159,159,12300601,100004,323,326
160,160,12400605,80005,326,329
161,161,12480610,20000,328,330
162,162,12500610,40004,329,331
163,163,12540614,100005,330,332
164,164,12640619,40000,333,335
165,165,12680619,80005,334,336
166,166,12760624,40004,336,338
167,167,12800628,40000,337,339
168,168,12840628,120005,338,340
169,169,12960633,40005,341,343
170,170,13000638,40000,342,345
171,171,13040638,120004,343,346
172,172,13160642,20005,346,348
173,173,13180647,40000,347,349
174,174,13220647,80004,348,350
175,175,13300651,40001,350,353
176,176,13340652,60004,351,354
177,177,13400656,200009,353,355
178,178,13600665,120005,358,361
179,179,13720670,40004,361,364
180,180,13760674,40001,362,365
181,181,13800675,200009,363,367
182,182,14000684,20004,368,372
183,183,14020688,40000,369,373
184,184,14060688,40001,370,374
185,185,14100689,180009,371,375
186,186,14280698,40004,375,379
187,187,14320702,120005,376,381
188,188,14440707,80005,380,384
189,189,14520712,60004,382,386
190,190,14580716,80000,384,387
191,191,14660716,20005,386,390
192,192,14680721,160004,387,391
193,193,14840725,120010,391,395
194,194,14960735,60000,394,398
195,195,15020735,60004,395,400
196,196,15080739,240010,397,401
197,197,15320749,40004,403,408
198,198,15360753,60000,404,409
199,199,15420753,20005,406,410
200,200,15440758,80000,407,411
201,201,15520758,120009,409,414
202,202,15640767,20000,412,417
203,203,15660767,80005,413,418
204,204,15740772,120004,415,420
205,205,15860776,100005,418,423
206,206,15960781,60004,421,426
207,207,16020785,20000,422,427
208,208,16040785,160010,423,428
209,209,16200795,120004,427,432
210,210,16320799,80005,430,435
211,211,16400804,120005,432,437
212,212,16520809,140009,435,441
213,213,16660818,60000,438,445
