t_sync_us,capture_time_ns,source_pose_index,source,quality,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
11542,1789025759430000000,0,HEAD_POSE_ESTIMATE,edge_fit,-0.9001990940135335,5.216945369395119,9.680882503325765,-0.421929808910164,0.2113197900864292,0.35526149588342637
29542,1789025759448000000,1,HEAD_POSE_ESTIMATE,edge_fit,-0.9682082469275737,5.228266384581478,9.524231369470758,-0.33526610867820356,0.19852148055188895,0.2855318678428321
37542,1789025759456000000,2,HEAD_POSE_ESTIMATE,edge_fit,-1.0060766335262996,5.19725294925083,9.473619061466685,-0.298920818757251,0.193446791512082,0.25729675421589837
51542,1789025759470000000,3,HEAD_POSE_ESTIMATE,edge_fit,-1.062923626175235,5.162800321653404,9.375379789897163,-0.23832056967384904,0.18631629209984207,0.21174229561375277
65542,1789025759484000000,4,HEAD_POSE_ESTIMATE,edge_fit,-1.1100044662803477,5.151255446243874,9.265926400894843,-0.18158652153822236,0.1817251136869317,0.17076515311185814
79542,1789025759498000000,5,HEAD_POSE_ESTIMATE,edge_fit,-1.1598095123160166,5.143422919070524,9.154329744078176,-0.1289137335197181,0.17939862483164315,0.1343842399508462
93542,1789025759512000000,6,HEAD_POSE_ESTIMATE,edge_fit,-1.2365318654915674,5.1259761233652785,9.044763415589813,-0.08047519036079959,0.17930646716798557,0.1026053476488798
107542,1789025759526000000,7,HEAD_POSE_ESTIMATE,edge_fit,-1.3058908323507143,5.109804026855048,8.935408086080617,-0.03585529234021861,0.1816591183328602,0.07554284349905048
123542,1789025759542000000,8,HEAD_POSE_ESTIMATE,edge_fit,-1.3818240254073229,5.144590382297861,8.779946570313411,0.010436189035947138,0.18736044631063542,0.04984026589910003
135542,1789025759554000000,9,HEAD_POSE_ESTIMATE,estimated,-1.4377311164515791,5.1926289628191,8.690482503683512,0.06567669962956499,0.19844901158659317,0.04095963980007479
149542,1789025759568000000,10,HEAD_POSE_ESTIMATE,estimated,-1.4410010199507175,5.174958543772289,8.517216949672756,0.0964747368901946,0.21325361743286664,0.02672696604295645
163542,1789025759582000000,11,HEAD_POSE_ESTIMATE,estimated,-1.4879601269482194,5.150091059706716,8.451073777155768,0.1258586761443145,0.22659731339152916,0.013760408631419415
175542,1789025759594000000,12,HEAD_POSE_ESTIMATE,estimated,-1.5318203149001524,5.168140002650233,8.45333134516053,0.16519578969777593,0.24342853442325477,0.001652127611490353
190542,1789025759609000000,13,HEAD_POSE_ESTIMATE,estimated,-1.6199402819454154,5.223519433899834,8.450228109863797,0.17998040521612038,0.2551824586935883,-0.0021651433948416928
203542,1789025759622000000,14,HEAD_POSE_ESTIMATE,estimated,-1.747362423900064,5.303520425744355,8.44781585962081,0.15734562477909073,0.2607296784975499,0.006384873408093616
217542,1789025759636000000,15,HEAD_POSE_ESTIMATE,estimated,-1.795944012203252,5.389000751250898,8.450184935377573,0.1277571047635962,0.25951864659753865,0.027377720984670756
232542,1789025759651000000,16,HEAD_POSE_ESTIMATE,estimated,-1.7967742683525314,5.477396646568991,8.455243868265597,0.09697309318945133,0.251373318274492,0.06804398680563313
245542,1789025759664000000,17,HEAD_POSE_ESTIMATE,estimated,-1.8009002373688672,5.519538588284317,8.387257535864743,0.058240408455870044,0.2328995978875409,0.10989355449483883
259542,1789025759678000000,18,HEAD_POSE_ESTIMATE,estimated,-1.8498389219703155,5.534757159139046,8.31521618262801,0.02048568883622574,0.21998173139974503,0.1577511370184346
273542,1789025759692000000,19,HEAD_POSE_ESTIMATE,estimated,-1.898660733204385,5.511987626664133,8.25724559128436,0.006413783584275552,0.21155432102020558,0.1957933929962235
287542,1789025759706000000,20,HEAD_POSE_ESTIMATE,estimated,-1.900578205841893,5.454450806801187,8.265384685602688,-0.003548833683021874,0.21904662613943207,0.23670055286372568
