t_sync_us,capture_time_ns,source_pose_index,source,quality,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
3352,1789113520062000000,0,HEAD_POSE_ESTIMATE,edge_fit,-0.1796548909109226,7.05142780179916,6.023891358132575,-0.5433379338865416,0.33376661000836283,0.3178228869990375
17352,1789113520076000000,1,HEAD_POSE_ESTIMATE,edge_fit,-0.19562028305803505,7.008391942395256,6.1288886137345004,-0.49814000933711744,0.3189932522909025,0.2921703541858834
31352,1789113520090000000,2,HEAD_POSE_ESTIMATE,edge_fit,-0.20726631762714634,6.962213339820766,6.235992988023744,-0.45960268076654337,0.30542272464715997,0.26833704099156463
46352,1789113520105000000,3,HEAD_POSE_ESTIMATE,edge_fit,-0.19105093192128716,6.894428276480377,6.3697561199179695,-0.42523489360118233,0.2924636187943815,0.24530534405153456
58352,1789113520117000000,4,HEAD_POSE_ESTIMATE,edge_fit,-0.19188635050374242,6.844821053854769,6.469401228150258,-0.4036513375475008,0.28291859092300037,0.2278460020615919
73352,1789113520132000000,5,HEAD_POSE_ESTIMATE,edge_fit,-0.18937475826778213,6.79938652167662,6.574865669266901,-0.3836559451424898,0.2722996976684042,0.2075691288163799
89352,1789113520148000000,6,HEAD_POSE_ESTIMATE,edge_fit,-0.1898278053824835,6.799865476863894,6.635972453901168,-0.3710372269300834,0.262893057537387,0.18706495838270387
100352,1789113520159000000,7,HEAD_POSE_ESTIMATE,edge_fit,-0.1962234012290444,6.776237810552291,6.702186250664733,-0.36758894029701394,0.2569931314943596,0.17438060751262194
114352,1789113520173000000,8,HEAD_POSE_ESTIMATE,edge_fit,-0.20861087710895077,6.749948960032616,6.781962009422104,-0.3694233029036129,0.25013454199611934,0.1598298772227035
128352,1789113520187000000,9,HEAD_POSE_ESTIMATE,estimated,-0.21265660233873143,6.702788184300767,6.882814652074901,-0.3836337806392168,0.24314474497713362,0.13259755727101533
142352,1789113520201000000,10,HEAD_POSE_ESTIMATE,estimated,-0.2265766561448194,6.629039376686496,6.993025886277135,-0.42427242477266747,0.23469016938993006,0.10647779532230922
157352,1789113520216000000,11,HEAD_POSE_ESTIMATE,estimated,-0.23145349883533936,6.580589634083243,7.052989844348226,-0.47805345731729154,0.22818493661196204,0.09371215116058859
170352,1789113520229000000,12,HEAD_POSE_ESTIMATE,estimated,-0.24049520753521955,6.531513564034184,7.0541495175767075,-0.5151306327722277,0.22838786996096236,0.09277278849557341
184352,1789113520243000000,13,HEAD_POSE_ESTIMATE,estimated,-0.2557353710725492,6.47031601403238,7.059472331554552,-0.5374783664644833,0.22864263998570836,0.10435006415461916
199352,1789113520258000000,14,HEAD_POSE_ESTIMATE,estimated,-0.2612691619017213,6.390448915489401,7.077593706279573,-0.525613786926811,0.2324905655442856,0.12830101104546554
212352,1789113520271000000,15,HEAD_POSE_ESTIMATE,estimated,-0.2639395540659064,6.2754532772307465,7.053804840338277,-0.513393079900877,0.23839543384782574,0.1519123256024625
226352,1789113520285000000,16,HEAD_POSE_ESTIMATE,estimated,-0.25619433349688564,6.162248062372182,7.083124911021393,-0.4905187295089594,0.2436093193057023,0.17586705814544273
241352,1789113520300000000,17,HEAD_POSE_ESTIMATE,estimated,-0.2514551540281983,6.0623581243193,7.1150058810915455,-0.48350257308058964,0.24762718772333753,0.2002162044528493
254352,1789113520313000000,18,HEAD_POSE_ESTIMATE,estimated,-0.2664835917407937,6.043843401349177,7.197933743281076,-0.5022592152763234,0.25253374782256555,0.21569456741645324
267352,1789113520326000000,19,HEAD_POSE_ESTIMATE,estimated,-0.2619035154435479,5.989749768543214,7.219034166115183,-0.5192050467402671,0.2502756445294457,0.22682199569684844
281352,1789113520340000000,20,HEAD_POSE_ESTIMATE,estimated,-0.2729949426045929,5.915329093675787,7.212640780912975,-0.5483462577266467,0.24472803710513963,0.2327308940442389
295352,1789113520354000000,21,HEAD_POSE_ESTIMATE,estimated,-0.290033785125296,5.803688111544569,7.151251903950209,-0.5730831511196997,0.23298226102823866,0.22966240071068716
311352,1789113520370000000,22,HEAD_POSE_ESTIMATE,estimated,-0.3082058798998123,5.702722457940236,7.118128244190116,-0.6065234553573751,0.21936497909921554,0.23101691552322623
