tracking_time_ns,capture_time_ns,pose_sample_index,source,phase,peak_relative_0_100,contact_strength,palm_relative_0_100,index_relative_0_100,middle_relative_0_100,ring_relative_0_100,little_relative_0_100,thumb_relative_0_100,endpoint_hold
0,1789113520058648000,0,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
20004000,1789113520078652000,1,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
60005000,1789113520118653000,4,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
100005000,1789113520158653000,7,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
140009000,1789113520198657000,10,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
160009000,1789113520218657000,11,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
200009000,1789113520258657000,14,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
240014000,1789113520298662000,17,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
320018000,1789113520378666000,23,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
340018000,1789113520398666000,24,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
360018000,1789113520418666000,26,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
380019000,1789113520438667000,27,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
420023000,1789113520478671000,30,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
460023000,1789113520518671000,33,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
500028000,1789113520558676000,36,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
540028000,1789113520598676000,39,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
560028000,1789113520618676000,40,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
600032000,1789113520658680000,43,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
660032000,1789113520718680000,47,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
680032000,1789113520738680000,49,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
720037000,1789113520778685000,52,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
780041000,1789113520838689000,56,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
820042000,1789113520878690000,59,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
840042000,1789113520898690000,61,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
860042000,1789113520918690000,62,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
900046000,1789113520958694000,65,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
940046000,1789113520998694000,68,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
960046000,1789113521018694000,69,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1020051000,1789113521078699000,73,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1040051000,1789113521098699000,75,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1080055000,1789113521138703000,78,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1140055000,1789113521198703000,82,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1180060000,1789113521238708000,85,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1200060000,1789113521258708000,86,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1240060000,1789113521298708000,89,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1280065000,1789113521338713000,92,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1340065000,1789113521398713000,96,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1360069000,1789113521418717000,98,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1420069000,1789113521478717000,102,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1460074000,1789113521518722000,105,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1480074000,1789113521538722000,107,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1500074000,1789113521558722000,108,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1560079000,1789113521618727000,112,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1580079000,1789113521638727000,114,video_contact_and_recorded_pose,No contact,0,0,0,0,0,0,0,0,False
1640079000,1789113521698727000,118,video_contact_and_recorded_pose,Reach for red tool,0.4,0.004645645397496626,0,0.4,0.4,0,0,0.4,False
1680083000,1789113521738731000,121,video_contact_and_recorded_pose,Reach for red tool,1.2,0.01779063340246264,0.4,1.2,1.2,0.4,0.4,1.2,False
1700083000,1789113521758731000,122,video_contact_and_recorded_pose,Reach for red tool,2,0.02719509076182964,0.4,2,1.6,0.8,0.4,2,False
1720083000,1789113521778731000,124,video_contact_and_recorded_pose,Reach for red tool,2.7,0.03829893985740669,0.4,2.7,2.4,1.2,0.4,2.7,False
1780088000,1789113521838736000,128,video_contact_and_recorded_pose,Reach for red tool,5.5,0.08039417339474011,1.2,5.5,4.7,2,1.2,5.5,False
1820088000,1789113521878736000,131,video_contact_and_recorded_pose,Reach for red tool,7.8,0.11435526847421093,1.6,7.8,6.7,3.1,1.6,7.5,False
