tracking_time_ns,capture_time_ns,pose_sample_index,pose_unix_ms,pose_distance_ms,valid,thumb01_bend_deg,thumb02_bend_deg,thumb03_bend_deg,index01_bend_deg,index02_bend_deg,index03_bend_deg,middle01_bend_deg,middle02_bend_deg,middle03_bend_deg,ring01_bend_deg,ring02_bend_deg,ring03_bend_deg,little01_bend_deg,little02_bend_deg,little03_bend_deg,thumb01_x_deg,thumb01_y_deg,thumb01_z_deg,thumb02_x_deg,thumb02_y_deg,thumb02_z_deg,thumb03_x_deg,thumb03_y_deg,thumb03_z_deg,index01_x_deg,index01_y_deg,index01_z_deg,index02_x_deg,index02_y_deg,index02_z_deg,index03_x_deg,index03_y_deg,index03_z_deg,middle01_x_deg,middle01_y_deg,middle01_z_deg,middle02_x_deg,middle02_y_deg,middle02_z_deg,middle03_x_deg,middle03_y_deg,middle03_z_deg,ring01_x_deg,ring01_y_deg,ring01_z_deg,ring02_x_deg,ring02_y_deg,ring02_z_deg,ring03_x_deg,ring03_y_deg,ring03_z_deg,little01_x_deg,little01_y_deg,little01_z_deg,little02_x_deg,little02_y_deg,little02_z_deg,little03_x_deg,little03_y_deg,little03_z_deg,direction_error_deg
28000000,1785735589472000000,1,1785735589489,17,True,19.97197239462813,8.143023774655482,3.645472519644139,9.338381774154938,0.020542673467199745,0.2461683928315051,9.013123500348987,3.138039845199212,0.6005914426011936,6.04585219534033,2.6787566633440347,3.9508455285440416,8.004164247033835,0.4641808875325538,0.5470770665915193,29.158698265014966,36.22121410185624,-18.240459795554,0.22565376579406557,-3.5127071341459195,7.348360067847966,0.04545695926488218,1.5864564810126711,-3.2820967280204814,-7.629183742226623,3.719593605342357,1.0608242096016836,-1.4837149078281014e-06,-0.016080130824283306,-0.014395832669250427,3.746719550735326e-05,0.011404702902062877,-0.24588743866744928,-8.1542712057517,-6.654047990297394,-3.702713935608557,0.0009234938047661543,-0.033732699277816136,3.1369842501349705,1.949174222698503e-05,-0.0039020703559629,0.6010847445002919,-11.841485213593005,-10.855649536360822,-4.595546704170375,0.00782099705277988,-0.3374229226474941,2.655928091582429,0.01715591758056051,0.5015207215668277,-3.918292418188339,-8.413445116598723,-22.67743297369028,0.7386564726144458,-4.2213957251183475e-05,0.008527648300041074,0.46065784722790676,8.453387192386599e-05,0.01758044404112988,-0.545314505844961,1.9090959104164224e-06
78000000,1785735589522000000,3,1785735589531,9,True,20.187545685224237,8.022537976149769,3.6729830147455456,9.455789151994225,0.09077221954574441,0.19980613567487632,9.232123818698668,2.934105772474811,0.6212946770268584,6.24295280391832,2.5225021205867355,3.9105885661089728,8.55684393764656,0.3468749018939698,0.5262051822484742,29.329997400306407,36.44964669274503,-19.12024974313167,0.21899744313145078,-3.4604814295802107,7.239578636477957,0.046141681040945605,1.598234945284503,-3.3069686621357435,-7.628975075588157,2.9812568883303103,0.6848574783053291,-1.107258603050743e-05,-0.015110515626470294,-0.09010271318335782,3.078822126586032e-05,0.010218980223637819,-0.19952697190401825,-8.204753872652631,-6.951580843617645,-4.374061757920911,0.0009426173265020429,-0.03682671843849501,2.933000078916759,2.3461544135461194e-05,-0.00450376804648286,0.6217843379916769,-11.86817174060596,-11.020925600059751,-4.847445340248419,0.00696340079612541,-0.3190736305929401,2.500746129540213,0.016922396186365637,0.4998483998566522,-3.8779186796456484,-8.454271688373426,-23.252739606925406,0.3668622690346804,-4.365006894182412e-05,0.012590167369175847,0.34322161131231577,7.770903819997511e-05,0.01678840732341997,-0.5244574878798101,1.7075472925031877e-06
128000000,1785735589572000000,5,1785735589581,9,True,20.204814955745007,7.8909652671283395,3.984837641311769,9.325649635955642,0.2968959347294193,0.18419867531716907,9.459030721043225,2.785596769824856,0.6397011572609995,6.641202482590726,2.4069693779982972,3.9799987520745126,9.600854323853712,0.41148512110440105,0.5638441418526219,29.481968980560726,36.725078907163144,-19.66657563624771,0.21098510670930395,-3.385649459169798,7.129240805066181,0.05402928690251306,1.7221019898495806,-3.593558515321004,-7.6367594933707625,2.6611824579598173,0.21030706066594224,-3.460310175027702e-05,-0.013948088224570889,-0.2970454155091592,3.0488388686072664e-05,0.01090317090993046,-0.18385642587646667,-8.258361709243118,-7.2053160789111,-5.069768795538419,0.0010221405153468639,-0.04206381462127614,2.784404187652104,2.6939494796601445e-05,-0.004996829334201183,0.6401876316057824,-11.902652218937085,-11.40035416459764,-5.067746139445085,0.006439254758440668,-0.3093114452120936,2.385516531235405,0.017754755360416638,0.5153928478348314,-3.9458977252152634,-8.381862038661794,-24.386217370588678,0.889826463069512,-4.2299927826193916e-05,0.009908581217495651,0.40792743922552904,8.873432333187452e-05,0.017912408150097075,-0.5620799405081497,1.4787793334710982e-06
211000000,1785735589655000000,10,1785735589661,6,True,19.90523365529254,7.7893970402949835,4.302972913100666,9.09042858208193,0.7942363281466821,0.28190079095303333,10.25657084046319,2.742429027769997,0.6743053147698678,7.627107755362536,2.0796573275353007,4.263506569756318,11.044743547871786,0.18558559057188265,0.7005616333800391,29.714102878169424,37.287296418722,-20.067505251533596,0.20534758188110694,-3.3372747011802737,7.039604688458565,0.0628808152050175,1.8547736694736148,-3.8828924651052534,-7.664331770509912,1.9598501687900338,-0.8762781832137092,-5.5159724170908025e-05,-0.00843643177088592,-0.7946330277319137,4.5960816793915205e-05,0.01341623061041628,-0.2815646124107363,-8.3434601786088,-7.957917889128426,-5.810315354002655,0.0012710341834281443,-0.05312891375550629,2.7410387618292127,4.8957097532711236e-05,-0.00847993410262723,0.6747579534244563,-11.974496219918308,-12.374830985566298,-5.375387517730916,0.004957107025099082,-0.27577782771963716,2.0597920203200086,0.020943430288286612,0.5677672320370304,-4.224959166877303,-8.34593860630211,-25.898745267810874,1.0497745959126554,-3.264491048627716e-05,0.01860881350383615,0.18129729356203797,0.0001531858839519673,0.024982693805202842,-0.6986326439279449,1.4787793334710982e-06
261000000,1785735589705000000,13,1785735589708,3,True,19.8201121554938,7.8174581900669615,4.0340444627181915,9.08540662876133,0.8524164417255555,0.3295844524683215,10.27803807701635,2.669985609858076,0.6470755600753862,7.720721511247461,1.8837146002743126,4.30957828102382,10.898149565922896,0.13209117430884948,0.6922675548920767,29.929467510120087,37.718978829955894,-20.625304450997138,0.20646280686334242,-3.3415798486818025,7.068642154306161,0.05520282598694549,1.7364405394986377,-3.6412610154752043,-7.666079900568895,1.9466102241397394,-0.9380206423291558,-3.9958483892450095e-05,-0.005846290722468316,-0.8528341283908049,5.095846616187093e-05,0.013210201060814438,-0.3293044349955939,-8.33982792293104,-7.977415877495619,-5.7441340604778865,0.0012826171703453927,-0.055069750495642965,2.668541832059599,4.958743337883003e-05,-0.008948209901255747,0.6475196448834006,-11.979527931994745,-12.481197029274465,-5.374954166951231,0.004070965494331571,-0.2500679153297268,1.8655410963805592,0.02145417160033903,0.575416150860512,-4.270419507814248,-8.413914137199013,-25.806454813763633,0.5857179338848019,-2.433002363251123e-05,0.0198571528628277,0.1272939862567411,0.00015918694113390582,0.026281099437148,-0.690282749672632,2.091309789151873e-06
311000000,1785735589755000000,16,1785735589752,3,True,19.647390725153716,7.827670381343773,3.877451424409428,9.08484507889334,0.8750608100261466,0.36806309164866263,10.242266587781895,2.6267345911277036,0.5970488162383624,7.8126847936841495,1.8075346703427069,4.315814521037265,10.867247559379965,0.48718961677913303,0.7169809860262218,30.14074653954775,38.17928905840047,-21.034059806558368,0.2069857389976982,-3.3455695080924115,7.078066961547105,0.051016021958131645,1.669798654046614,-3.4994915298834495,-7.661972452760997,2.08806044301552,-0.8221068905955651,-2.6853554832611175e-05,-0.003990398870955411,-0.8754871281686849,5.683945491678747e-05,0.013659920811177832,-0.3677949795608259,-8.310144653981409,-7.952140690827979,-5.336384138409753,0.0013447697325890825,-0.058690555836216414,2.6252027612618876,4.7498604999282394e-05,-0.009297004901627243,0.5974823786094285,-11.959718985015181,-12.642874249397735,-5.0812412213477645,0.0037457821833355677,-0.23979811640956916,1.7900556939506476,0.021501426646993116,0.5758419857661244,-4.27665492976997,-8.311356329266482,-25.78567879737209,1.2971795656613194,-3.652685386492176e-05,0.0066878400360711535,0.4836937980082145,0.00014855330757980513,0.023664725359105354,-0.7151096740388796,1.9090959104164224e-06
361000000,1785735589805000000,20,1785735589806,1,True,19.51689720688906,7.813352046471743,3.8004393836157315,8.850086137434317,0.9402754949323336,0.3682693146596704,10.31528663736441,2.772255401421539,0.6060219233979259,7.98305062827524,2.1580513601650053,4.163286612461626,10.816506062225663,1.2370815438566787,0.7682188548382584,30.27301191718483,38.476057826706224,-21.24956437171522,0.20706028959166764,-3.356835496841259,7.056888940834985,0.04922127688848594,1.6458532317510028,-3.425547557874418,-7.6603981168470066,2.4044837347380574,-0.8529144783306953,-1.5432839200401055e-05,-0.002351126599127343,-0.940705924686672,6.14209432906778e-05,0.015081186987178495,-0.36794505876570577,-8.290920996988635,-8.019853144041287,-5.017579822501104,0.0015505774093084318,-0.06411640368164266,2.7706377635188266,5.872249313979189e-05,-0.011280816630952472,0.6064228431889478,-11.922339314235751,-12.901229586697417,-4.57028323939322,0.005289531371214457,-0.2835261785267537,2.1378469006505565,0.019833941769219945,0.5505780944286377,-4.126140820032446,-8.131871662527573,-25.6145356044197,2.5694897995106007,0.00017032869609006292,-0.01777921536158381,1.2334726650287287,0.00015783803947997874,0.02346974907762006,-0.7663821427452233,2.091309789151873e-06
411000000,1785735589855000000,24,1785735589850,5,True,19.3444759304119,7.804220229205158,3.7607462963517158,8.908506702526767,0.9926320344205846,0.32304518802075577,10.563770226311554,3.1849307057323233,0.7076964979088401,8.165796150684528,2.827864221031042,3.8643400382380864,11.184207629703955,2.380159460331195,0.7837054426322135,30.313272232704893,38.62423795092211,-21.171064255409892,0.20748701899465868,-3.3720618266496265,7.039523440290153,0.04841115393233113,1.6380541361753127,-3.3852315400653405,-7.660417707405746,2.342860726785657,-0.8339731918632185,-2.524706212176549e-06,-0.0007594259448896834,-0.9930633817488683,5.53465735207351e-05,0.015039812589571277,-0.3226784113419869,-8.289986656672289,-8.258681302895647,-4.859242790689195,0.0021044051127314597,-0.07573073894309594,3.1831543505901188,8.162638441660984e-05,-0.013367869590474134,0.7080761286321583,-11.875221150294905,-13.14649820604219,-3.9885282112112006,0.008983259312652528,-0.3672909607534582,2.8024222640830456,0.016960173504233875,0.5071945613711337,-3.830318037711956,-7.869657209945192,-25.547760805846597,4.425177080581576,0.0009676548846766318,-0.048619540820888166,2.376175309883327,0.000147747124089214,0.021524140931195423,-0.7819348391269887,1.4787793334710982e-06
461000000,1785735589905000000,28,1785735589900,5,True,18.741606757216008,7.959616701442506,3.261757219076455,8.947779100497115,1.0337607318433888,0.2839251746811512,10.755083635239146,3.5444427050792084,0.7753832299486044,8.321212636392042,3.2934747893702556,3.7665001047555386,10.691648620985562,2.3626216485995863,0.8081205514849691,30.260828561982347,38.793251519012784,-20.39960077746169,0.21720912416977342,-3.4673438278974333,7.166422455998848,0.03669412042663858,1.4351537288856056,-2.928875289956693,-7.66453333171736,2.17133243864531,-0.9499439251882331,5.198336618095418e-06,0.00011010042579925136,-1.0341915038501135,4.7677394905655714e-05,0.01401541559647077,-0.28356197043242065,-8.288074817024459,-8.440095463050987,-4.7286757174777705,0.00263520015588312,-0.08520395852763134,3.54254291724548,9.948611766216151e-05,-0.01483986364476692,0.7757470832325835,-11.83980739577456,-13.315583561403,-3.5727180426149965,0.012098001699139042,-0.42459035000402295,3.2645138052029137,0.016020900859154884,0.4915128990938908,-3.7336952191218504,-7.88608488444784,-25.03653923039404,4.461361182647514,0.00087351068553708,-0.04439643910309919,2.3587187677772334,0.00015311488933772316,0.02163504033255812,-0.806356650351233,1.9090959104164224e-06
494000000,1785735589938000000,31,1785735589943,5,True,18.42791832398173,8.124805690248788,2.876985286346406,9.13768096176469,0.9738110825628218,0.23370177010151225,10.81753437242289,3.7069818430183137,0.7966317753990309,8.392340394336303,3.4829614820378976,3.7129951645624524,10.403179587301935,2.2932089366422157,0.7765202014869084,30.17899705824191,38.78632777948389,-19.84533851089694,0.22748831502409583,-3.5627758590123446,7.304037912079794,0.028743509526247088,1.2774922544521468,-2.577522700607988,-7.664929771566256,1.9527236900976557,-0.8966946439824186,-2.137501131483523e-06,-0.0007205872845589808,-0.9742424202072167,4.1714669353803125e-05,0.014108992543267402,-0.23325610937905333,-8.277752719688298,-8.491701736554466,-4.561058110811057,0.0028570489994804945,-0.08832190979674288,3.705054177920936,0.0001100671154852398,-0.015965871317045202,0.7969776273918865,-11.824994121976259,-13.381370185963156,-3.403945512382221,0.013444150187539188,-0.4460892493503873,3.4528037816503487,0.01550181446878448,0.48241036991737507,-3.6809240094335016,-7.923433521395827,-24.840316123566655,4.246795014982104,0.000766131690711826,-0.040310869957435415,2.2893702245992897,0.00012579944972478972,0.01847568315871766,-0.7748291527744984,1.2074182697257333e-06
